Fstat_Species	Anova_Species	AnovaAdj_Species
ACOT13	1.4280839412766	0.25202886541712	1
ACOT2	0.844712325873167	0.437390787994584	1
ACOT6	14.9893271232946	1.48191349344563e-05	0.199776758051405
ACOT8	27.9158662665428	2.98650316672094e-08	0.000402610491905649
ACOX1	5.64756505114422	0.00701461899276292	1
ACOX2	15.6801561962223	1.00662691032943e-05	0.13570337378151
ACOX3	2.29435409576869	0.114279115332897	1
ACP2	22.0480470216652	3.92588830730267e-07	0.00529249002707474
ACP5	2.74915870181718	0.0763941040520334	1
ACP6	23.0414497160417	2.47648300855819e-07	0.0033385467438373
ACPP	2.3926814372459	0.104675549044883	1
ACR	12.1160982809545	8.08097194710662e-05	1
ACRBP	10.7939040598902	0.000185886406050831	1
ACRV1	19.3214202852557	1.47496675163107e-06	0.0198840267787384
ACSBG1	1.68660550556943	0.198370920934483	1
ACSBG2	0.602408566590014	0.55250607827425	1
ACSF2	1.71523592253887	0.193215312183979	1
ACSF3	41.4620501133773	2.22337865043617e-10	2.997336758653e-06
ACSL1	0.672004041061313	0.516497846411393	1
ACSL3	41.5171874439633	2.1845264649889e-10	2.94496012745154e-06
ACSL5	1.8622054865729	0.168879214274311	1
ACSL6	18.6989371301385	2.02150574922854e-06	0.02725191900535
ACSM1	11.1179134545743	0.000151060491897027	1
ACSM2A	5.25377715047532	0.00954258689905965	1
ACSM2B	9.79905051352768	0.000356476384547122	1
ACSM3	2.36801047415906	0.107002541605414	1
ACSM4	3.16516348576641	0.0532325449375544	1
ACSM5	3.83179907068544	0.0302471514780117	1
ACSS1	9.1548024774675	0.000549952585828727	1
ACSS2	2.09688183873547	0.136473837697745	1
ACSS3	0.1055834688863	0.900055677460625	1
ACTA1	0.815562320067784	0.449792686594529	1
ACTA2	2.4018788773302	0.103821703487354	1
ACTB	11.3869236251836	0.000127370591203258	1
ACTC1	0.331418018293841	0.719907050873405	1
ACTG1	1.00387597123597	0.375728018582301	1
ACTG2	0.093717344608186	0.910744520150632	1
ACTL10	0.71801158881379	0.494055023239812	1
ACTL6A	0.812736927789426	0.451014250464527	1
ACTL6B	12.1863076429007	7.73887887754309e-05	1
ACTL7A	17.5415795871413	3.68323734041791e-06	0.0496537225861738
ACTL7B	78.4146412956249	2.15846989293894e-14	2.90983326267098e-10
ACTL8	11.3141311507157	0.000133367911841854	1
ACTL9	17.5415795871413	3.68323734041791e-06	0.0496537225861738
ACTN1	42.3700305769854	1.66651210972925e-10	2.246624975126e-06
ACTN2	12.3284649289607	7.09200285638134e-05	0.956072905068769
ACTN4	3.62738138091002	0.0359094629020454	1
ACTR10	1.73960115676311	0.188938714652885	1
ACTR1A	4.5056951829611	0.0173598640606778	1
ACTR1B	22.3785669127568	3.36383429426088e-07	0.00453478501209309
ACTR2	18.2675857391512	2.52260967640858e-06	0.0340073010476641
ACTR3B	11.4085239501707	0.000125646021533049	1
ACTR5	53.5362641087018	6.55651695193845e-12	8.83884050290823e-08
ACTR6	8.77613323211359	0.000712827662627392	1
ACTR8	1.9859414550774	0.150891353769294	1
ACTRT2	17.5415795871413	3.68323734041791e-06	0.0496537225861738
ACTRT3	0.982186640403507	0.383562990575776	1
ACVR1	6.50701326383695	0.00364259240590242	1
ACVR1B	3.05944018545513	0.0583139839529403	1
ACVR1C	14.6686759553106	1.77797641003646e-05	0.239688999837015
ACVR2A	14.7480525677564	1.69932025369933e-05	0.229085363401206
ACVR2B	11.5462564869288	0.000115211205495188	1
ACVRL1	0.638526311731311	0.533500744205113	1
ACY1	6.83249912423253	0.00285811298156989	1
ACY3	1.37768775273905	0.264160672165301	1
ADA	415.153250395119	5.15095497517019e-27	6.94400240202694e-23
ADAD1	17.5415795871413	3.68323734041791e-06	0.0496537225861738
ADAD2	0.00212430687866466	0.997878063320137	1
ADAL	5.78362962353191	0.00631402410896802	1
ADAM10	27.8644037826215	3.05041875455e-08	0.000411226952300885
ADAM11	55.9147156454029	3.50978903870014e-12	4.73154660307166e-08
ADAM12	10.0434391365058	0.000303168760554489	1
ADAM15	81.8217589166663	1.10782681624352e-14	1.49346133097789e-10
ADAM17	65.3728748815976	3.50494424882842e-13	4.7250153418456e-09
ADAM18	9.89823952607166	0.000333740646246252	1
ADAM19	7.07311850887346	0.00239356759416132	1
ADAM2	2.24774862800784	0.119150531176156	1
ADAM20	380.85466675977	2.55858272981141e-26	3.44922537805876e-22
ADAM22	3.84689093405078	0.0298681524252365	1
ADAM23	5.57424473323746	0.00742560158115489	1
ADAM28	6.90297030079679	0.00271297362211749	1
ADAM33	2.04347250064945	0.143224937445346	1
ADAM7	17.5415795871413	3.68323734041791e-06	0.0496537225861738
ADAM8	62.3358066365897	7.1331154815478e-13	9.61615298067458e-09
ADAM9	15.778971289717	9.53047660590094e-06	0.128480355124151
ADAMDEC1	2.6840779109595	0.0808849974243411	1
ADAMTS12	71.2842827470757	9.42902789201474e-14	1.27112725012251e-09
ADAMTS13	27.9737605974291	2.9162787384468e-08	0.000393143536730013
ADAMTS14	18.4695979535758	2.27338478633992e-06	0.0306475003046484
ADAMTS15	41.742874495464	2.03278465583463e-10	2.74039699453066e-06
ADAMTS16	78.4007816615014	2.16443632941772e-14	2.91787661568803e-10
ADAMTS17	4.93168753662304	0.0123191954478721	1
ADAMTS18	1.629315178598	0.209126565312559	1
ADAMTS2	0.201412342748011	0.818420289872811	1
ADAMTS20	8.9403944769391	0.00063669349327661	1
ADAMTS3	7.39340275168137	0.00189488423542329	1
ADAMTS4	1.23538423357508	0.301848635758621	1
ADAMTS5	1.58153339046337	0.218565739952739	1
ADAMTS6	6.385052662987	0.0039922560733217	1
ADAMTS8	10.727431734389	0.000194021816129793	1
ADAMTS9	26.0348151122163	6.57620222694015e-08	0.000886537822213801
ADAMTSL1	2.9362577619186	0.0648846125523186	1
ADAMTSL2	0.375176112378322	0.689621356529916	1
ADAMTSL3	20.8623282356976	6.90460485404194e-07	0.00930809780373394
ADAMTSL4	127.197264437758	8.13664976311906e-18	1.09690175456608e-13
ADAMTSL5	7.02827350544011	0.00247371513228928	1
ADAP1	0.849214871496228	0.435507459492037	1
ADAP2	19.8560912256402	1.12964433662768e-06	0.0152287353020777
ADAR	7.56646857127101	0.00167208672758637	1
ADARB1	10.4663096920446	0.000229787438180185	1
ADARB2	18.9703566093503	1.7608152276509e-06	0.0237375500839618
ADAT1	15.6796841728108	1.00689031814262e-05	0.135738883788806
ADAT2	27.637983522726	3.34919486410537e-08	0.000451504959630045
ADCK1	3.2615230818833	0.0490059929412024	1
ADCK2	10.195886473509	0.000274218773320345	1
ADCK5	11.6561395589977	0.000107540965520647	1
ADCY1	10.8510398417311	0.000179180280756748	1
ADCY10	106.075469742107	1.68667380109574e-16	2.27380495125717e-12
ADCY2	4.77792647670987	0.0139331361248228	1
ADCY3	0.292545960319798	0.747984349257713	1
ADCY4	0.500492060665097	0.610072785195358	1
ADCY5	45.8794780700823	5.68285612808168e-11	7.66105834626691e-07
ADCY6	2.11325161521862	0.134472285981771	1
ADCY7	10.3738628537175	0.000244057947910517	1
ADCY8	30.8976263110258	9.09239559018196e-09	0.000122574584951243
ADCY9	65.9716781563377	3.05591603225231e-13	4.11968040307934e-09
ADCYAP1R1	30.4663306039456	1.07513872988575e-08	0.000144939452175898
ADD1	3.41707405935261	0.0429112475790529	1
ADD2	93.838693448941	1.24537454716809e-15	1.6788894270373e-11
ADD3	21.24905258813	5.73301874552384e-07	0.00772868257084068
ADGB	1.49087463871623	0.237727536517535	1
ADH1A	1.29137244451083	0.286387024344262	1
ADH1B	1.26259147389694	0.294228355370174	1
ADH4	4.08036670712218	0.0246002264650796	1
ADH5	24.303428794621	1.40044750532324e-07	0.00188794328192626
ADH6	1.34698539042365	0.27185123585932	1
ADH7	17.5415795871413	3.68323734041791e-06	0.0496537225861738
ADHFE1	51.2020622367249	1.23523427189481e-11	1.6652193219414e-07
ADI1	251.61763525928	5.11797839930752e-23	6.89954668010646e-19
ADIPOQ	7.89848431732923	0.00131827927350062	1
ADIPOR1	4.61954401666172	0.0158298793628618	1
ADIPOR2	0.67054184407209	0.517228451491657	1
ADK	1.31711633767701	0.279559220130778	1
ADM	4.67014975022783	0.0151959469571161	1
ADNP	41.6423487386065	2.09895739926107e-10	2.82960446994385e-06
ADNP2	56.3989624224849	3.0979618323564e-12	4.17636234619966e-08
ADO	4.92434321668967	0.0123916313802939	1
ADORA1	25.4737658134598	8.37470400618731e-08	0.00112899384707411
ADORA2A	9.95629281506775	0.000321145764514428	1
ADPGK	4.05821336361887	0.025055269630795	1
ADPRHL2	6.1540286216488	0.00475489805739363	1
ADRA1A	36.5690995110523	1.13648860978956e-09	1.53210029485731e-05
ADRA2A	10.387161959614	0.000241948937505675	1
ADRA2B	1.11120633636246	0.339358246632763	1
ADRB1	18.8549384144129	1.86706643490904e-06	0.0251699226090088
ADRB2	19.9099900428595	1.09989589543854e-06	0.0148276965664069
ADRB3	4.39718413180865	0.0189632900827285	1
ADRM1	0.709441609906627	0.498156495501371	1
ADSL	56.1508673199734	3.30220208900286e-12	4.45169863618476e-08
ADSSL1	13.0806539337413	4.49737273139839e-05	0.606290817919817
ADTRP	118.35356835611	2.73541787593968e-17	3.68761683855428e-13
AEBP2	32.1002459742354	5.74070684736951e-09	7.73904690093883e-05
AEN	7.86793947726632	0.00134726788250513	1
AFAP1	3.65515686632094	0.0350787601810928	1
AFAP1L1	57.1121967275235	2.58146104224309e-12	3.4800676310479e-08
AFAP1L2	80.5719723180285	1.41117854084106e-14	1.90240979090783e-10
AFF1	2.36701562578201	0.107097509948425	1
AFF4	21.6794409909715	4.67096065477322e-07	0.00629692205869977
AFM	7.95689169784776	0.00126465828504236	1
AFMID	76.7886898774906	2.99196843443671e-14	4.03347264646413e-10
AFP	0.78473681042895	0.463310418107223	1
AFTPH	30.462200624225	1.07687308323614e-08	0.000145173260351065
AGA	1.32060181112207	0.278648039322078	1
AGAP2	90.9131402001796	2.07381528247333e-15	2.79571038230229e-11
AGBL1	22.5878615177666	3.05222225712904e-07	0.00411470082483566
AGBL2	28.6377527066672	2.22434217615997e-08	0.000299863568768126
AGBL3	37.3543082976747	8.66540784807601e-10	1.16818363199913e-05
AGBL4	20.944368595664	6.63655589685473e-07	0.00894674100454987
AGER	8.74253972905757	0.000729544568836689	1
AGFG1	19.2477707967595	1.53060751214071e-06	0.0206341198711689
AGFG2	33.8373593538631	3.00995819308771e-09	4.05772464010155e-05
AGGF1	31.4484519234946	7.35564174765088e-09	9.91614064000815e-05
AGK	14.8794661749899	1.57703709015314e-05	0.212600370123545
AGL	11.0986891804847	0.000152921972239004	1
AGMAT	2.54448061153096	0.0914802702661946	1
AGMO	3.00005457947812	0.0613896666773067	1
AGO1	13.0300084323131	4.63589394769707e-05	0.624964863089042
AGO2	1.03981194006154	0.363114753105929	1
AGO3	65.7988637329635	3.17893483392935e-13	4.28552204962016e-09
AGO4	6.47444213758356	0.00373270320263855	1
AGPAT1	9.88813107801923	0.000335986278214935	1
AGPAT2	2.31841587298399	0.111846454265478	1
AGPAT3	11.5501067062878	0.00011493294365902	1
AGPAT4	45.3436123639384	6.67213006841611e-11	8.99469854523176e-07
AGPAT5	12.4776061936436	6.47409249027243e-05	0.872772408613626
AGPS	2.34448149271407	0.109272525215848	1
AGR2	0.385946815345954	0.682374182505871	1
AGR3	1.49643000323158	0.23650399519472	1
AGRN	85.0513976483598	6.00818069797991e-15	8.09962839894672e-11
AGT	0.344924637135759	0.710412458516209	1
AGTPBP1	55.3470768325397	4.06691852756748e-12	5.48261286701371e-08
AGTR1	17.5415795871413	3.68323734041791e-06	0.0496537225861738
AGTRAP	24.4969677322016	1.28508358178858e-07	0.00173242117660918
AGXT	0.0232565071507706	0.977025379964493	1
AGXT2	2.83190109316495	0.0710597794344022	1
AHCTF1	57.5473312161404	2.3115416295916e-12	3.11618927085244e-08
AHCYL1	20.0686932155527	1.01698986066036e-06	0.0137100403115623
AHCYL2	12.5890187391629	6.04956855701822e-05	0.815542337171626
AHDC1	100.629507623835	4.00410842965849e-16	5.39793857402261e-12
AHI1	76.2565860676766	3.33339029118148e-14	4.49374345154175e-10
AHNAK	1.9978321767247	0.149272185368611	1
AHR	20.2255196664466	9.41494902486413e-07	0.0126922927804193
AHRR	107.780912331046	1.29655507425967e-16	1.74788589560946e-12
AHSA1	3.59805412841696	0.036809059754541	1
AHSG	5.77350565662512	0.00636352762665403	1
AHSP	17.5415795871413	3.68323734041791e-06	0.0496537225861738
AICDA	2.05777336214141	0.141383534778154	1
AIDA	26.0008761820104	6.6725157547581e-08	0.000899521848898939
AIF1	3.96941945623396	0.0269698888202264	1
AIF1L	0.86816503180843	0.427673923400063	1
AIFM2	196.123743181843	4.45237352359514e-21	6.00224474715861e-17
AIFM3	6.52238355584288	0.00360086617773238	1
AIG1	25.1783482618736	9.52316468454078e-08	0.00128381783112294
AIM2	6.6723436304272	0.00321917030962678	1
AIMP1	66.8506021438784	2.50322679904254e-13	3.37460004778925e-09
AIMP2	0.154446574708995	0.85741078108248	1
AIP	2.8472010739438	0.0701170694533554	1
AIPL1	0.0612419027199623	0.940685950641025	1
AIRE	165.672372119113	8.66840542761497e-20	1.16858773569677e-15
