Fstat_Species	Anova_Species	AnovaAdj_Species
ACRV1	0.684483631004355	0.512591011913398	1
ACSBG1	64.816137204518	3.1130095491029e-11	4.19664817314562e-07
ACSBG2	2.16081282635408	0.134062617657844	1
ACSF2	9.02495132919529	0.000944083500516176	1
ACSF3	11.2382274162704	0.000261197254899303	1
ACSL1	0.68586835461182	0.511914778952199	1
ACSL3	2.06609201194948	0.145562330848268	1
ACSL5	2.69932188974683	0.0847244570320846	1
ACSL6	34.4635093161391	2.8182821853549e-08	0.000379932621407695
ACSM1	3.20721063272159	0.0556988015396366	1
ACSM2A	7.51880344871007	0.00243410235701797	1
ACSM2B	6.0702238673015	0.0064574561447754	1
ACSM3	11.5668580791634	0.000217926201862726	1
ACSM4	6.06202936253602	0.0064944807765164	1
ACSM5	78.8028925984055	3.161777586689e-12	4.26239236461545e-08
ACSS1	19.9389337600934	4.13064412924321e-06	0.0556852135063278
ACSS2	4.86192525317049	0.0154023939335669	1
ACSS3	11.6922893334337	0.000203494764912589	1
ACTA1	0.882670141497556	0.424874349679684	1
ACTA2	1.58296295769603	0.223198855433054	1
ACTB	8.61053316709836	0.00121742230044728	1
ACTC1	0.433231623976383	0.652683092198336	1
ACTG1	5.39839365273522	0.0104009197142168	1
ACTG2	0.676322044573593	0.516596236435971	1
ACTL10	0.512343718740269	0.604598014502493	1
ACTL6A	0.191461424007667	0.826823487788086	1
ACTL6B	0.731633941739478	0.490094283257133	1
ACTL7A	6.06202936253602	0.0064944807765164	1
ACTL7B	28.6318130195869	1.69636485096192e-07	0.00228686945558177
ACTL8	0.282949838911402	0.755686642770762	1
ACTL9	6.06202936253602	0.0064944807765164	1
ACTN1	1.35299042303333	0.274846868597671	1
ACTN2	151.303129916032	9.76916455161617e-16	1.31698107320338e-11
ACTN4	9.11145967833936	0.000895796251966206	1
ACTR10	0.1461339694041	0.864696628497988	1
ACTR1A	0.0734363343004517	0.929373661680303	1
ACTR1B	3.17097899338392	0.0573669423542828	1
ACTR2	9.84483292693981	0.000578458924826472	1
ACTR3B	2.39672087707067	0.109444627578694	1
ACTR5	6.58006999280554	0.00454502875272088	1
ACTR6	1.97856526488087	0.157131612401728	1
ACTR8	1.05405246547033	0.361946636866058	1
ACTRT2	1.0873107859903	0.350935083938574	1
ACTRT3	7.03204573421766	0.00335313666794582	1
ACVR1	5.58717543311847	0.00908211749210735	1
ACVR1B	0.222345506227684	0.802038750684756	1
ACVR1C	10.9726986360611	0.000302883651219998	1
ACVR2A	7.37229131311213	0.00267841153828408	1
ACVR2B	8.55656371800022	0.00125884234862473	1
ACVRL1	0.874470606463527	0.428165085568654	1
ACY1	6.12498321537457	0.00621577268834123	1
ACY3	5.1530838416673	0.012429411393168	1
ADA	27.6883759194469	2.32050671936132e-07	0.003128275108371
ADAD1	6.06202936253602	0.0064944807765164	1
ADAD2	0.125362987216705	0.882668976108906	1
ADAL	3.47921660206926	0.0447182707575137	1
