Fstat_Species	Anova_Species	AnovaAdj_Species
ABHD17B	1.47043274738345	0.241151285218543	1
ABHD17C	0.553504380118975	0.57897294298207	1
ABHD2	10.0408226180398	0.000264032291054431	1
ABHD4	15.8501968969833	6.96834481425015e-06	0.0583389827849023
ABHD6	14.9699918609886	1.16361700871899e-05	0.0974180159699541
ABI1	10.8344570186994	0.00015474516266037	1
ABI2	123.288080858244	1.55478892243551e-18	1.30166928586301e-14
ABL1	17.0910853292332	3.45109205319218e-06	0.0288925426693249
ABL2	26.5160060292489	3.1450473403571e-08	0.000263303363334696
ABLIM1	37.1880196932997	4.20352463916874e-10	3.51919082791207e-06
ABLIM2	22.9424792906453	1.65868491813325e-07	0.00138865101346116
ABLIM3	0.0307877645067467	0.969702707419613	1
ABR	5.92977723224271	0.00531676979200503	1
ABTB1	66.8721197450633	6.33356938238217e-14	5.30246428693035e-10
ACAA1	68.6837804386199	4.09416649578779e-14	3.42763619027354e-10
ACACA	0.085030888143642	0.918637959464346	1
ACACB	4.42883142273457	0.0178276290555697	1
ACAD8	3.79302382624099	0.0304025979176637	1
ACAD9	132.953844637508	3.87484505074389e-19	3.24402027648279e-15
ACADM	28.4064895791532	1.37104244682342e-08	0.000114783673648057
ACADSB	19.3700418515932	1.00511930819321e-06	0.00841485884819352
ACADVL	55.7111211449548	1.15427669319619e-12	9.66360447543852e-09
ACAN	18.5414038322804	1.5612664984997e-06	0.0130709231254395
ACAP2	10.9236542480555	0.000145846078448395	1
ACAP3	13.2076739110926	3.37503636053929e-05	0.282558044104349
ACAT1	33.8645948541081	1.47209614382782e-09	1.23243889161265e-05
ACBD3	22.5192551109677	2.0375537329667e-07	0.00170583998523972
ACBD4	2.04242186362672	0.142110912440553	1
ACBD5	0.841576432070754	0.438005828560342	1
ACBD6	21.5916808098991	3.22083184469327e-07	0.00269648042037721
ACD	10.7558638049495	0.000163057334716979	1
ACE	3.81365486012698	0.0298742849089878	1
ACER3	15.7767660542649	7.26950741787008e-06	0.0608603161024083
ACHE	36.457070055637	5.5034979840258e-10	4.6075285122264e-06
ACIN1	36.3616652294881	5.70193064414969e-10	4.77365633528212e-06
ACLY	5.35067995966162	0.00841178556959656	1
ACO1	1.07400818337176	0.35062292468407	1
ACO2	12.9586925667344	3.94005956096126e-05	0.329861786443676
ACOT11	34.4352135665999	1.18084508213189e-09	9.88603502760822e-06
ACOT13	0.395255821940971	0.675929461447934	1
ACOT8	12.6549342542407	4.76625895147727e-05	0.399031199417677
ACOX1	4.97762195184108	0.0113639387042857	1
ACOX3	2.48384686037219	0.0953173093850572	1
ACP2	20.245364803949	6.37307875049353e-07	0.00533554152991319
ACP6	23.3561078307483	1.35913552900842e-07	0.00113786826488585
ACSF3	36.211041782863	6.0305959852745e-10	5.04881495887181e-06
ACSL1	0.0465813519001653	0.954535004193903	1
ACSL3	43.2097263400001	5.14732132082095e-11	4.3093374097913e-07
ACSL6	22.3365785102685	2.22812176127253e-07	0.00186538353853736
ACSS2	1.80999565976033	0.175901582282323	1
ACTB	12.6156576687506	4.88563827296685e-05	0.409025636212784
ACTG1	1.1701323773635	0.320010834231272	1
ACTL6B	10.1062741673267	0.000252522960673808	1
ACTL7B	25.6438800175413	4.6642567429034e-08	0.000390491574515873
ACTN1	48.8507410892587	8.53395479848065e-12	7.144626957288e-08
ACTN2	9.26534564438225	0.000450918668955718	1
ACTN4	3.00147773108286	0.06022723217266	1
ACTR10	0.330480269509702	0.720387465012511	1
ACTR1A	3.85026948328443	0.0289601901638513	1
ACTR1B	18.0712799783963	2.01258752270842e-06	0.0168493827401149
ACTR2	18.4310369206031	1.65672049950501e-06	0.0138700640218559
ACTR3B	6.54765769152284	0.00329344201910892	1
ACTR5	39.050378637408	2.1474068217681e-10	1.79780899118425e-06
ACTR6	3.67898796501972	0.0335045722580086	1
ACTR8	1.78038579905402	0.180774915219048	1
ACVR1	6.78212816164105	0.00275370263402021	1
ACVR1B	3.59710782267418	0.0359350160723151	1
ACVR1C	17.3397092019008	3.00603159678203e-06	0.0251664965282592
ACVR2A	14.0480510973177	2.0178425670652e-05	0.168933779714698
ACVR2B	6.40352049127456	0.00367924225617707	1
ACY1	3.31303957684931	0.0458994594431197	1
ADA	192.549113414463	3.47846847233573e-22	2.91217380503947e-18
ADAL	5.05784822524663	0.0106482899541488	1
ADAM10	28.6647172960897	1.22704913087826e-08	0.000102728553237128
ADAM11	49.2334108869525	7.59447866427814e-12	6.35809753773366e-08
ADAM15	74.9896454250173	9.57396009107962e-15	8.01531938825186e-11
ADAM17	26.782117381791	2.792680649387e-08	0.000233803223966679
ADAM19	6.22733930361325	0.00421600049468079	1
ADAM20	360.046632649228	1.39364753206129e-27	1.16676171384171e-23
ADAM22	6.26287942491707	0.00410147424743703	1
ADAM23	6.16689454129177	0.00441853167436385	1
ADAM8	60.651652588075	3.04212003683449e-13	2.54686289483783e-09
ADAM9	14.4651882461606	1.57020597508013e-05	0.131457644233709
ADAMTS12	58.1222719125141	5.95914196243022e-13	4.98899365094658e-09
ADAMTS13	32.3763093756016	2.64468144798244e-09	2.2141273082509e-05
ADAMTS16	87.078901738807	7.56658353779642e-16	6.33474373784316e-12
ADAMTS17	6.35916592878831	0.00380725988571508	1
ADAMTS3	4.00315173738623	0.0254483136580289	1
ADAMTS8	9.61305146861364	0.000354128458387157	1
ADAMTS9	23.0080394158725	1.60694092942256e-07	0.00134533094611257
ADAMTSL1	1.79833922393256	0.177803438573833	1
ADAMTSL3	19.2919696612422	1.04730060673317e-06	0.00876800067957008
ADAMTSL4	105.668786090398	2.53072867527349e-17	2.11872604693897e-13
ADAP1	0.46792560324359	0.629451586243917	1
ADAR	3.87768460698409	0.0282949532687169	1
ADARB1	3.22989746155485	0.0493340877599805	1
ADARB2	12.756875419674	4.4704403021748e-05	0.374265262098075
ADAT1	16.9283071346413	3.77941816864583e-06	0.0316412889079029
ADAT2	26.037744470781	3.90029623028795e-08	0.000326532800399707
ADCK1	1.5430301960417	0.225333481088291	1
ADCK2	9.91967939110578	0.000286806692671519	1
ADCK5	6.78520524478863	0.0027472690763388	1
ADCY1	16.0127380714596	6.34721848746606e-06	0.0531389131770659
ADCY10	102.219054936509	4.57130417428482e-17	3.82709585471125e-13
ADCY2	4.65373760678712	0.0148064518769898	1
ADCY3	0.21287272363815	0.809105634768104	1
ADCY5	41.0227168769529	1.0779864248718e-10	9.02490234902668e-07
ADCY6	2.10397822479399	0.13435225922599	1
ADCY7	13.5905638781612	2.66584212730323e-05	0.223184302897827
ADCY8	30.5968480296072	5.44478516688894e-09	4.55837414171942e-05
ADCY9	59.4592955460317	4.16574225862675e-13	3.48755941892231e-09
ADCYAP1R1	28.4004989315345	1.37458562300727e-08	0.000115080308358169
ADD1	3.56630650517823	0.0368964390063016	1
ADD2	105.780094146493	2.48356996354823e-17	2.07924477348258e-13
ADD3	22.01237447039	2.61367777720287e-07	0.00218817103507424
ADH5	26.7803840756929	2.79483702347976e-08	0.000233983755605725
ADHFE1	58.9969874328621	4.71156188235856e-13	3.94451960791059e-09
ADI1	195.50711072029	2.58962361639206e-22	2.16803289164343e-18
ADIPOR1	2.22963824822559	0.119858230131227	1
ADNP	40.7804003643814	1.17184961038823e-10	9.81072493817025e-07
