Gene	Class
PFDN4	OLIG2
PFKL	OLIG2
PGPEP1	OLIG2
PHF20	OLIG2
PIBF1	OLIG2
PLCB1	OLIG2
PLCB3	OLIG2
PNISR	OLIG2
POLR3GL	OLIG2
PON2	OLIG2
POR	OLIG2
PPFIA1	OLIG2
PPIG	OLIG2
PPP1R12A	OLIG2
PPP1R21	OLIG2
PPP3CA	OLIG2
PPWD1	OLIG2
PRC1	OLIG2
PRDX6	OLIG2
PRKAR1A	OLIG2
PRPF31	OLIG2
PRPF38B	OLIG2
PRPF6	OLIG2
PRPSAP2	OLIG2
PRRC2C	OLIG2
PSIP1	OLIG2
PSMC3	OLIG2
PTCD3	OLIG2
PTN	OLIG2
PTPRM	OLIG2
RAD21	OLIG2
RANGAP1	OLIG2
RASGEF1B	OLIG2
RASSF4	OLIG2
RBM17	OLIG2
RBM25	OLIG2
RBM27	OLIG2
RBM39	OLIG2
RHOBTB1	OLIG2
ROCK1	OLIG2
RSRC1	OLIG2
RSRC2	OLIG2
RTF1	OLIG2
RUFY1	OLIG2
RYR2	OLIG2
SAFB2	OLIG2
SART1	OLIG2
SART3	OLIG2
SASH1	OLIG2
SCLT1	OLIG2
SEC62	OLIG2
SETD4	OLIG2
SF3A3	OLIG2
SFPQ	OLIG2
SFSWAP	OLIG2
SGIP1	OLIG2
SHPRH	OLIG2
SIL1	OLIG2
SLC4A1AP	OLIG2
SLC6A15	OLIG2
SLCO1A2	OLIG2
SMARCA4	OLIG2
SMARCA5	OLIG2
SMARCC1	OLIG2
SMARCC2	OLIG2
SMIM14	OLIG2
SNAP25	OLIG2
SNW1	OLIG2
SOGA3	OLIG2
SOX5	OLIG2
SOX9	OLIG2
SPARC	OLIG2
SPG7	OLIG2
SPIRE2	OLIG2
SREK1	OLIG2
SRFBP1	OLIG2
SRPK2	OLIG2
SRRT	OLIG2
SRSF11	OLIG2
SSRP1	OLIG2
STAG1	OLIG2
SUPT5H	OLIG2
SUPT6H	OLIG2
TAF3	OLIG2
TATDN3	OLIG2
TBC1D15	OLIG2
TCF12	OLIG2
TCF25	OLIG2
TCHP	OLIG2
TCOF1	OLIG2
TDRD3	OLIG2
TEAD1	OLIG2
TFIP11	OLIG2
TGS1	OLIG2
THAP6	OLIG2
THOC1	OLIG2
THOC5	OLIG2
TIAM1	OLIG2
TIMELESS	OLIG2
TMEM150C	OLIG2
TMOD2	OLIG2
TNS1	OLIG2
TOP1	OLIG2
TOP2B	OLIG2
TPM2	OLIG2
TPM4	OLIG2
TPMT	OLIG2
TRAF3IP1	OLIG2
TRIM24	OLIG2
TRIM44	OLIG2
TRIP4	OLIG2
TRPM3	OLIG2
TRUB1	OLIG2
TTC1	OLIG2
TUBGCP5	OLIG2
TXLNA	OLIG2
TXNDC9	OLIG2
UBE2E2	OLIG2
UBE2K	OLIG2
UBTF	OLIG2
UBXN4	OLIG2
UPF2	OLIG2
UPF3A	OLIG2
USP37	OLIG2
UTP23	OLIG2
UVRAG	OLIG2
VRK2	OLIG2
WDR43	OLIG2
WDR70	OLIG2
WWOX	OLIG2
XPA	OLIG2
XPC	OLIG2
YAP1	OLIG2
YTHDC1	OLIG2
ZC3H15	OLIG2
ZC3H18	OLIG2
ZEB1	OLIG2
ZFR	OLIG2
ZMAT2	OLIG2
ZNF24	OLIG2
ZNF276	OLIG2
ZNF552	OLIG2
ZNF649	OLIG2
ZRANB1	OLIG2
ABCC10	OLIG2
ABHD6	OLIG2
ACADSB	OLIG2
AGO1	OLIG2
AGPAT5	OLIG2
AMBRA1	OLIG2
ANK3	OLIG2
ANKAR	OLIG2
ARHGAP33	OLIG2
ARHGAP35	OLIG2
ARID1B	OLIG2
ARID2	OLIG2
ATAT1	OLIG2
B4GALT3	OLIG2
BACH2	OLIG2
BOP1	OLIG2
BTBD3	OLIG2
C6orf136	OLIG2
CARD8	OLIG2
CARM1	OLIG2
CD46	OLIG2
CLDN11	OLIG2
COBL	OLIG2
CPPED1	OLIG2
CPSF4	OLIG2
CSAD	OLIG2
CSF1	OLIG2
DDX24	OLIG2
DDX39B	OLIG2
DHFR	OLIG2
DLC1	OLIG2
DMWD	OLIG2
DNMBP	OLIG2
DPH1	OLIG2
DTHD1	OLIG2
DVL3	OLIG2
EFS	OLIG2
EIF2B1	OLIG2
ELMO2	OLIG2
EXT2	OLIG2
EXTL3	OLIG2
FAM160A2	OLIG2
FAM171B	OLIG2
FAM208A	OLIG2
FAM214A	OLIG2
FBXL14	OLIG2
FGFR2	OLIG2
FNIP2	OLIG2
FOXO1	OLIG2
FURIN	OLIG2
GANC	OLIG2
GAS7	OLIG2
GCLC	OLIG2
GEMIN4	OLIG2
GLIPR2	OLIG2
GNPAT	OLIG2
GOLGA7	OLIG2
GRIK5	OLIG2
GRINA	OLIG2
GSTP1	OLIG2
GTF2H2C	OLIG2
H6PD	OLIG2
HEATR1	OLIG2
HECTD3	OLIG2
HECW2	OLIG2
HGSNAT	OLIG2
HIVEP3	OLIG2
HYAL2	OLIG2
ICK	OLIG2
IGSF11	OLIG2
IKZF4	OLIG2
ITGB8	OLIG2
KCNK1	OLIG2
KIAA0355	OLIG2
KIAA2026	OLIG2
KLHL32	OLIG2
LATS2	OLIG2
LRRTM2	OLIG2
MAML2	OLIG2
MFSD6	OLIG2
MLX	OLIG2
MTMR2	OLIG2
MYO19	OLIG2
NBEAL1	OLIG2
NCOA6	OLIG2
NDST1	OLIG2
NF1	OLIG2
NIPBL	OLIG2
NOD1	OLIG2
NUP214	OLIG2
OMG	OLIG2
OSGIN1	OLIG2
P4HTM	OLIG2
PANX1	OLIG2
PCDH9	OLIG2
PCDHB15	OLIG2
PDE8A	OLIG2
PDLIM3	OLIG2
PDZD7	OLIG2
PER1	OLIG2
PHC1	OLIG2
PI4KB	OLIG2
PLCL2	OLIG2
PLEKHA7	OLIG2
PPM1B	OLIG2
PPOX	OLIG2
PPP2R3A	OLIG2
PRDM4	OLIG2
PRRC2A	OLIG2
PTCH1	OLIG2
PTPRD	OLIG2
PTRH1	OLIG2
PURB	OLIG2
QRICH1	OLIG2
QSER1	OLIG2
RAD23A	OLIG2
RALGAPA1	OLIG2
RAPGEF5	OLIG2
RBM12	OLIG2
RPS6KA1	OLIG2
RPUSD4	OLIG2
RTN4	OLIG2
SALL1	OLIG2
SCAF4	OLIG2
SCAMP2	OLIG2
SH3BP4	OLIG2
SHF	OLIG2
SLC22A17	OLIG2
SLC24A2	OLIG2
SLC35B2	OLIG2
SLC37A4	OLIG2
SLC38A7	OLIG2
SLC44A2	OLIG2
SLC9A8	OLIG2
SLITRK5	OLIG2
SMG1	OLIG2
SNX14	OLIG2
SP2	OLIG2
ST18	OLIG2
STIL	OLIG2
SZT2	OLIG2
TCAP	OLIG2
TCF20	OLIG2
TET2	OLIG2
TIAL1	OLIG2
TM7SF2	OLIG2
TMEM131	OLIG2
TMEM132B	OLIG2
TONSL	OLIG2
TRADD	OLIG2
TRIP12	OLIG2
TRPT1	OLIG2
TTC30A	OLIG2
TUBB4A	OLIG2
URM1	OLIG2
USP19	OLIG2
USP31	OLIG2
USPL1	OLIG2
VPS52	OLIG2
WBP1	OLIG2
WBP1L	OLIG2
WDR20	OLIG2
WDR33	OLIG2
WDR62	OLIG2
WIPI2	OLIG2
ZBED5	OLIG2
ZFHX4	OLIG2
ZFPL1	OLIG2
ZFYVE1	OLIG2
ZFYVE16	OLIG2
ZKSCAN8	OLIG2
ZNF181	OLIG2
ZNF251	OLIG2
ZNF460	OLIG2
ZNF549	OLIG2
ZNF555	OLIG2
ZNF644	OLIG2
ZNF746	OLIG2
ZNF792	OLIG2
