Gene	Class
DNALI1	NeuN
DNMT3B	NeuN
DOC2A	NeuN
DSE	NeuN
DTNA	NeuN
DTX3	NeuN
DUSP19	NeuN
DYNC2LI1	NeuN
EBNA1BP2	NeuN
EFCAB6	NeuN
EIF2B5	NeuN
EIF2S2	NeuN
EIF4ENIF1	NeuN
ENO2	NeuN
EPB41L4A	NeuN
ERAP1	NeuN
ERCC1	NeuN
ERP29	NeuN
ETFDH	NeuN
EXOC7	NeuN
EXOSC7	NeuN
EZH1	NeuN
FABP3	NeuN
FAHD2A	NeuN
FAM149B1	NeuN
FAM160B2	NeuN
FAM192A	NeuN
FAM219B	NeuN
FAM47E	NeuN
FAM84A	NeuN
FAM8A1	NeuN
FAM98C	NeuN
FANCI	NeuN
FAR1	NeuN
FASTKD2	NeuN
FBXL16	NeuN
FBXO7	NeuN
FCF1	NeuN
FDPS	NeuN
FERMT2	NeuN
FGD5	NeuN
FGFR1OP	NeuN
FKBP11	NeuN
FKBP14	NeuN
FLYWCH1	NeuN
FSD1	NeuN
FTH1	NeuN
FZD3	NeuN
GAA	NeuN
GFOD1	NeuN
GGA1	NeuN
GGPS1	NeuN
GHITM	NeuN
GJC1	NeuN
GLS	NeuN
GLYR1	NeuN
GM2A	NeuN
GNB4	NeuN
GOLGA7B	NeuN
GOLM1	NeuN
GOLT1B	NeuN
GPD1L	NeuN
GPM6A	NeuN
GPR135	NeuN
GPR63	NeuN
GPR75-ASB3	NeuN
GPSM1	NeuN
GREB1	NeuN
GRSF1	NeuN
GTF3C5	NeuN
HACE1	NeuN
HAGH	NeuN
HARS	NeuN
HEXA	NeuN
HIBCH	NeuN
HMG20A	NeuN
HPS1	NeuN
HSBP1	NeuN
HSD17B12	NeuN
HUNK	NeuN
IFNAR2	NeuN
IFRD1	NeuN
IFT172	NeuN
IFT57	NeuN
ING5	NeuN
INSIG2	NeuN
INTU	NeuN
IQCH	NeuN
JAK1	NeuN
JAKMIP2	NeuN
JAM3	NeuN
KATNB1	NeuN
KCNAB2	NeuN
KIAA0513	NeuN
KIAA0895L	NeuN
KIAA1147	NeuN
KIAA1841	NeuN
KIAA1958	NeuN
KIFC2	NeuN
KREMEN1	NeuN
KRT222	NeuN
LDB1	NeuN
LGALS8	NeuN
LIG1	NeuN
LMLN	NeuN
LRPAP1	NeuN
LRRC49	NeuN
LRRC57	NeuN
LYRM1	NeuN
LYSMD4	NeuN
LZTR1	NeuN
MAP2K7	NeuN
MCF2L	NeuN
MCM3	NeuN
MCTP2	NeuN
MED10	NeuN
METTL14	NeuN
MICAL1	NeuN
MICU2	NeuN
MIS18BP1	NeuN
MMS22L	NeuN
MPHOSPH6	NeuN
MPZ	NeuN
MRI1	NeuN
MRPS14	NeuN
MRPS30	NeuN
MSANTD4	NeuN
MSH3	NeuN
MTAP	NeuN
MTBP	NeuN
MTSS1L	NeuN
MTX3	NeuN
MYEF2	NeuN
MYH15	NeuN
MYO10	NeuN
MYSM1	NeuN
N4BP2L2	NeuN
N4BP3	NeuN
NAAA	NeuN
NAE1	NeuN
NAP1L1	NeuN
NASP	NeuN
NDUFB5	NeuN
NDUFS1	NeuN
NDUFS5	NeuN
NEB	NeuN
NEXN	NeuN
NHLRC3	NeuN
NOB1	NeuN
NPHP3	NeuN
NREP	NeuN
NRGN	NeuN
NUDCD1	NeuN
NUMA1	NeuN
NUPL2	NeuN
OBSCN	NeuN
OCIAD1	NeuN
ONECUT2	NeuN
OSBPL3	NeuN
OSGEP	NeuN
PACRGL	NeuN
PAFAH1B1	NeuN
PAIP2	NeuN
